image_id,x_min,y_min,x_max,y_max,color,position,texture,lighting,description
ISIC_0026947,166,82,421,450,light,middle-center,rough,in natural lighting,"A light rough spot positioned at the middle-center, in natural lighting."
ISIC_0026963,398,0,600,450,light,middle-right,grainy,under dim light,"A light grainy spot positioned at the middle-right, under dim light."
ISIC_0026983,0,24,262,356,light,middle-left,grainy,slightly shadowed,"Notable light, grainy pigmentation located at the middle-left, slightly shadowed."
ISIC_0027000,48,150,424,362,brownish,middle-center,scaly,slightly shadowed,"At the middle-center, a brownish scaly lesion can be observed, slightly shadowed."
ISIC_0027003,27,56,568,416,light,middle-center,grainy,in natural lighting,"The lesion at the middle-center looks grainy and light, in natural lighting."
ISIC_0027015,176,104,525,354,light,middle-center,irregular,slightly shadowed,"At the middle-center of the image lies a irregular, light lesion, slightly shadowed."
ISIC_0027019,0,0,561,443,brownish,middle-center,bumpy,under dim light,"Notable brownish, bumpy pigmentation located at the middle-center, under dim light."
ISIC_0027025,0,0,600,450,light,middle-center,grainy,under dim light,"The middle-center area reveals a grainy light patch, under dim light."
ISIC_0027048,293,179,447,352,light,middle-center,bumpy,in natural lighting,"At the middle-center, a light bumpy lesion can be observed, in natural lighting."
ISIC_0027050,162,103,358,306,light,middle-center,irregular,moderately lit,"The middle-center region displays a irregular, light mark, moderately lit."
ISIC_0027059,171,103,310,262,light,middle-center,irregular,slightly shadowed,"A irregular lesion with light tone is seen around the middle-center, slightly shadowed."
ISIC_0027070,116,148,368,318,light,middle-center,grainy,slightly shadowed,"A light, grainy patch is visible near the middle-center, slightly shadowed."
ISIC_0027078,154,109,487,361,brownish,middle-center,rough,moderately lit,"Notable brownish, rough pigmentation located at the middle-center, moderately lit."
ISIC_0027083,0,248,600,450,light,bottom-center,rough,well illuminated,"The bottom-center area reveals a rough light patch, well illuminated."
ISIC_0027084,0,119,462,450,light,middle-center,scaly,well illuminated,"At the middle-center of the image lies a scaly, light lesion, well illuminated."
ISIC_0027105,197,101,409,328,light,middle-center,bumpy,moderately lit,"A bumpy lesion appears at the middle-center, exhibiting light pigmentation, moderately lit."
ISIC_0027110,39,87,475,334,light,middle-center,flat,slightly shadowed,"A light, flat patch is visible near the middle-center, slightly shadowed."
ISIC_0027119,0,0,600,450,light,middle-center,grainy,under bright light,"The lesion, light and grainy, is located toward the middle-center, under bright light."
ISIC_0027127,0,0,224,450,light,middle-left,smooth,in natural lighting,"A light, smooth patch is visible near the middle-left, in natural lighting."
ISIC_0027134,95,0,487,424,light,middle-center,irregular,under bright light,"An light irregular lesion located at the middle-center, under bright light."
ISIC_0027139,0,37,600,450,light,middle-center,smooth,moderately lit,"A smooth lesion with light tone is seen around the middle-center, moderately lit."
ISIC_0027158,159,96,350,331,light,middle-center,flat,under dim light,"A light lesion with flat surface appears at the middle-center, under dim light."
ISIC_0027170,92,0,600,450,light,middle-center,rough,in natural lighting,"Located near the middle-center, a light rough lesion is seen, in natural lighting."
ISIC_0027177,138,176,302,372,light,middle-center,flat,slightly shadowed,"A flat lesion with light tone is seen around the middle-center, slightly shadowed."
ISIC_0027210,265,180,345,251,brownish,middle-center,grainy,slightly shadowed,"The lesion, brownish and grainy, is located toward the middle-center, slightly shadowed."
ISIC_0027211,501,297,600,450,brownish,bottom-right,flat,moderately lit,"A brownish irregularly shaped lesion appears at the bottom-right, moderately lit."
ISIC_0027213,64,115,532,383,light,middle-center,grainy,under bright light,"An light grainy lesion located at the middle-center, under bright light."
ISIC_0027218,167,86,456,368,brownish,middle-center,grainy,under bright light,"A grainy and brownish lesion is observed at the middle-center, under bright light."
ISIC_0027246,136,59,470,440,light,middle-center,grainy,well illuminated,"The lesion, light and grainy, is located toward the middle-center, well illuminated."
ISIC_0027249,0,0,193,450,light,middle-left,flat,in natural lighting,A flat light lesion around the middle-left under in natural lighting.
ISIC_0027295,160,8,520,429,light,middle-center,rough,moderately lit,"A light, rough patch is visible near the middle-center, moderately lit."
ISIC_0027297,163,140,335,254,light,middle-center,scaly,well illuminated,"At the middle-center, a light scaly lesion can be observed, well illuminated."
ISIC_0027299,273,57,404,233,brownish,top-center,grainy,in natural lighting,"Notable brownish, grainy pigmentation located at the top-center, in natural lighting."
ISIC_0027303,113,53,505,414,light,middle-center,scaly,in natural lighting,"A light growth at the middle-center area, appearing scaly and in natural lighting."
ISIC_0027314,151,0,547,450,light,middle-center,flat,well illuminated,"A light lesion with flat surface appears at the middle-center, well illuminated."
ISIC_0027323,236,165,354,299,brownish,middle-center,rough,under dim light,"The middle-center area reveals a rough brownish patch, under dim light."
ISIC_0027326,14,27,428,411,light,middle-center,bumpy,in natural lighting,"A light growth at the middle-center area, appearing bumpy and in natural lighting."
ISIC_0027339,194,73,526,323,light,middle-center,bumpy,slightly shadowed,"A bumpy lesion with light tone is seen around the middle-center, slightly shadowed."
ISIC_0027357,224,62,407,306,light,middle-center,scaly,under bright light,"A light irregularly shaped lesion appears at the middle-center, under bright light."
ISIC_0027368,0,0,600,450,light,middle-center,flat,in natural lighting,"An light flat lesion located at the middle-center, in natural lighting."
ISIC_0027372,0,47,600,450,brownish,middle-center,irregular,under bright light,"A irregular lesion appears at the middle-center, exhibiting brownish pigmentation, under bright light."
ISIC_0027381,56,39,495,450,light,middle-center,rough,under dim light,"Notable light, rough pigmentation located at the middle-center, under dim light."
ISIC_0027390,129,5,554,402,light,middle-center,scaly,slightly shadowed,"A light growth at the middle-center area, appearing scaly and slightly shadowed."
ISIC_0027405,238,77,476,373,light,middle-center,rough,under bright light,"A light rough spot positioned at the middle-center, under bright light."
ISIC_0027418,269,180,403,292,light,middle-center,scaly,under dim light,"An light scaly lesion located at the middle-center, under dim light."
ISIC_0027424,149,56,446,354,light,middle-center,bumpy,under bright light,"A bumpy lesion appears at the middle-center, exhibiting light pigmentation, under bright light."
ISIC_0027428,0,90,396,301,brownish,middle-left,bumpy,under bright light,"Located near the middle-left, a brownish bumpy lesion is seen, under bright light."
ISIC_0027440,215,141,415,376,brownish,middle-center,irregular,moderately lit,"At the middle-center, a brownish irregular lesion can be observed, moderately lit."
ISIC_0027448,162,145,409,382,brownish,middle-center,rough,well illuminated,"The middle-center area reveals a rough brownish patch, well illuminated."
ISIC_0027452,117,36,462,363,light,middle-center,grainy,in natural lighting,"A light irregularly shaped lesion appears at the middle-center, in natural lighting."
ISIC_0027459,197,19,415,277,brownish,top-center,grainy,under dim light,"A brownish lesion with grainy surface appears at the top-center, under dim light."
ISIC_0027461,101,84,463,345,light,middle-center,irregular,under bright light,"A light growth at the middle-center area, appearing irregular and under bright light."
ISIC_0027470,220,99,416,306,light,middle-center,smooth,moderately lit,"The middle-center region displays a smooth, light mark, moderately lit."
ISIC_0027474,0,0,535,428,light,middle-center,bumpy,in natural lighting,"The middle-center region displays a bumpy, light mark, in natural lighting."
ISIC_0027477,0,80,465,376,light,middle-center,grainy,in natural lighting,"At the middle-center, a light grainy lesion can be observed, in natural lighting."
ISIC_0027489,199,163,392,323,brownish,middle-center,rough,well illuminated,"A brownish irregularly shaped lesion appears at the middle-center, well illuminated."
ISIC_0027497,130,188,413,330,brownish,middle-center,scaly,slightly shadowed,"An brownish scaly lesion located at the middle-center, slightly shadowed."
ISIC_0027511,0,0,600,450,light,middle-center,smooth,well illuminated,"Located near the middle-center, a light smooth lesion is seen, well illuminated."
ISIC_0027515,155,129,303,237,light,middle-center,bumpy,well illuminated,A bumpy light lesion around the middle-center under well illuminated.
ISIC_0027519,226,134,405,341,light,middle-center,smooth,slightly shadowed,A smooth light lesion around the middle-center under slightly shadowed.
ISIC_0027523,219,113,374,330,light,middle-center,smooth,slightly shadowed,"The lesion at the middle-center looks smooth and light, slightly shadowed."
ISIC_0027541,120,39,390,401,brownish,middle-center,rough,in natural lighting,"The middle-center area reveals a rough brownish patch, in natural lighting."
ISIC_0027548,184,142,397,319,brownish,middle-center,irregular,in natural lighting,"Located near the middle-center, a brownish irregular lesion is seen, in natural lighting."
ISIC_0027552,204,74,455,377,brownish,middle-center,scaly,in natural lighting,"Notable brownish, scaly pigmentation located at the middle-center, in natural lighting."
ISIC_0027566,145,159,379,327,brownish,middle-center,flat,under bright light,"A brownish, flat patch is visible near the middle-center, under bright light."
ISIC_0027587,208,114,446,450,light,middle-center,grainy,under dim light,"The middle-center area reveals a grainy light patch, under dim light."
ISIC_0027610,0,0,600,450,light,middle-center,scaly,well illuminated,"A light lesion located at the middle-center, with scaly texture and well illuminated."
ISIC_0027619,0,43,550,394,light,middle-center,scaly,in natural lighting,"At the middle-center, a light scaly lesion can be observed, in natural lighting."
ISIC_0027621,163,185,471,422,brownish,bottom-center,irregular,moderately lit,"The lesion at the bottom-center looks irregular and brownish, moderately lit."
ISIC_0027634,170,112,375,308,brownish,middle-center,irregular,moderately lit,"A brownish lesion with irregular surface appears at the middle-center, moderately lit."
ISIC_0027635,256,110,377,254,light,middle-center,bumpy,moderately lit,"Notable light, bumpy pigmentation located at the middle-center, moderately lit."
ISIC_0027636,139,29,404,375,brownish,middle-center,flat,under bright light,"At the middle-center of the image lies a flat, brownish lesion, under bright light."
ISIC_0027637,0,0,600,450,light,middle-center,bumpy,moderately lit,"A light, bumpy patch is visible near the middle-center, moderately lit."
ISIC_0027644,221,161,336,273,light,middle-center,rough,under bright light,"A rough lesion with light tone is seen around the middle-center, under bright light."
ISIC_0027647,188,99,413,371,brownish,middle-center,smooth,well illuminated,"The lesion at the middle-center looks smooth and brownish, well illuminated."
ISIC_0027652,0,0,323,450,light,middle-left,rough,slightly shadowed,"A light irregularly shaped lesion appears at the middle-left, slightly shadowed."
ISIC_0027658,174,46,523,411,brownish,middle-center,irregular,moderately lit,"A brownish irregularly shaped lesion appears at the middle-center, moderately lit."
ISIC_0027668,203,114,433,396,light,middle-center,rough,slightly shadowed,"Notable light, rough pigmentation located at the middle-center, slightly shadowed."
ISIC_0027676,155,148,416,450,light,middle-center,scaly,under bright light,"The lesion, light and scaly, is located toward the middle-center, under bright light."
ISIC_0027682,121,179,285,308,brownish,middle-center,grainy,well illuminated,"A brownish grainy spot positioned at the middle-center, well illuminated."
ISIC_0027694,109,53,489,327,light,middle-center,rough,well illuminated,"The middle-center region displays a rough, light mark, well illuminated."
ISIC_0027696,87,51,451,371,brownish,middle-center,rough,under bright light,"A brownish, rough patch is visible near the middle-center, under bright light."
ISIC_0027702,0,0,600,450,light,middle-center,flat,in natural lighting,"A light irregularly shaped lesion appears at the middle-center, in natural lighting."
ISIC_0027720,119,124,458,326,brownish,middle-center,smooth,under bright light,"At the middle-center, a brownish smooth lesion can be observed, under bright light."
ISIC_0027723,164,97,434,312,light,middle-center,smooth,under bright light,"A smooth lesion with light tone is seen around the middle-center, under bright light."
ISIC_0027733,51,64,500,258,light,middle-center,smooth,well illuminated,"The lesion, light and smooth, is located toward the middle-center, well illuminated."
ISIC_0027738,364,0,600,450,light,middle-right,flat,well illuminated,"At the middle-right, a light flat lesion can be observed, well illuminated."
ISIC_0027739,0,0,200,450,light,middle-left,irregular,in natural lighting,"The lesion, light and irregular, is located toward the middle-left, in natural lighting."
ISIC_0027748,156,77,383,290,light,middle-center,irregular,moderately lit,A irregular light lesion around the middle-center under moderately lit.
ISIC_0027760,147,46,489,381,light,middle-center,grainy,under bright light,"A light growth at the middle-center area, appearing grainy and under bright light."
ISIC_0027761,187,155,489,349,brownish,middle-center,scaly,slightly shadowed,"A brownish irregularly shaped lesion appears at the middle-center, slightly shadowed."
ISIC_0027775,0,0,600,450,light,middle-center,flat,moderately lit,"The middle-center area reveals a flat light patch, moderately lit."
ISIC_0027781,206,104,444,400,light,middle-center,bumpy,well illuminated,"The middle-center region contains a light bumpy pigmentation, well illuminated."
ISIC_0027799,255,62,471,320,light,middle-center,bumpy,slightly shadowed,"Located near the middle-center, a light bumpy lesion is seen, slightly shadowed."
ISIC_0027808,0,0,600,390,brownish,middle-center,grainy,moderately lit,"A grainy lesion with brownish tone is seen around the middle-center, moderately lit."
ISIC_0027809,153,58,469,383,light,middle-center,smooth,slightly shadowed,"A smooth lesion appears at the middle-center, exhibiting light pigmentation, slightly shadowed."
ISIC_0027817,0,14,496,450,light,middle-center,rough,under dim light,"A light irregularly shaped lesion appears at the middle-center, under dim light."
ISIC_0027825,138,75,533,420,light,middle-center,rough,moderately lit,A rough light lesion around the middle-center under moderately lit.
ISIC_0027828,167,81,425,327,brownish,middle-center,irregular,under dim light,"A irregular and brownish lesion is observed at the middle-center, under dim light."
ISIC_0027829,0,116,483,450,light,middle-center,bumpy,in natural lighting,"At the middle-center, a light bumpy lesion can be observed, in natural lighting."
ISIC_0027833,112,155,510,450,pale,bottom-center,rough,well illuminated,"The bottom-center region displays a rough, pale mark, well illuminated."
ISIC_0027839,228,145,413,325,brownish,middle-center,scaly,moderately lit,"At the middle-center of the image lies a scaly, brownish lesion, moderately lit."
ISIC_0027841,212,121,413,286,light,middle-center,rough,under bright light,"An light rough lesion located at the middle-center, under bright light."
ISIC_0027843,227,191,386,366,brownish,middle-center,smooth,well illuminated,"The middle-center area reveals a smooth brownish patch, well illuminated."
ISIC_0027882,89,13,454,393,light,middle-center,rough,in natural lighting,"Located near the middle-center, a light rough lesion is seen, in natural lighting."
ISIC_0027888,356,111,466,239,light,middle-right,irregular,in natural lighting,"At the middle-right, a light irregular lesion can be observed, in natural lighting."
ISIC_0027891,0,0,600,450,light,middle-center,flat,in natural lighting,"A light, flat patch is visible near the middle-center, in natural lighting."
ISIC_0027894,38,13,487,450,light,middle-center,rough,well illuminated,"A rough and light lesion is observed at the middle-center, well illuminated."
ISIC_0027913,219,137,362,277,light,middle-center,grainy,under dim light,"A grainy lesion with light tone is seen around the middle-center, under dim light."
ISIC_0027919,213,52,600,352,light,middle-right,grainy,moderately lit,"A grainy lesion with light tone is seen around the middle-right, moderately lit."
ISIC_0027921,80,65,372,354,brownish,middle-center,rough,under dim light,"The middle-center area reveals a rough brownish patch, under dim light."
ISIC_0027923,277,105,430,290,brownish,middle-center,smooth,in natural lighting,"A smooth lesion appears at the middle-center, exhibiting brownish pigmentation, in natural lighting."
ISIC_0027940,219,160,329,268,brownish,middle-center,rough,in natural lighting,"A rough lesion with brownish tone is seen around the middle-center, in natural lighting."
ISIC_0027957,373,207,600,450,light,bottom-right,rough,under dim light,"The bottom-right region contains a light rough pigmentation, under dim light."
ISIC_0027960,87,15,482,379,light,middle-center,flat,under dim light,"A light growth at the middle-center area, appearing flat and under dim light."
ISIC_0027962,202,14,409,200,light,top-center,flat,well illuminated,"A light irregularly shaped lesion appears at the top-center, well illuminated."
ISIC_0027968,252,81,432,281,brownish,middle-center,flat,moderately lit,"At the middle-center of the image lies a flat, brownish lesion, moderately lit."
ISIC_0027971,150,100,385,369,light,middle-center,grainy,moderately lit,"Located near the middle-center, a light grainy lesion is seen, moderately lit."
ISIC_0027977,0,0,600,450,light,middle-center,scaly,moderately lit,"A light irregularly shaped lesion appears at the middle-center, moderately lit."
ISIC_0027978,226,137,409,328,light,middle-center,irregular,slightly shadowed,"At the middle-center of the image lies a irregular, light lesion, slightly shadowed."
ISIC_0027982,160,64,503,315,light,middle-center,grainy,under dim light,"A light growth at the middle-center area, appearing grainy and under dim light."
ISIC_0027988,170,129,365,397,light,middle-center,scaly,under bright light,"An light scaly lesion located at the middle-center, under bright light."
ISIC_0027991,26,0,600,374,light,middle-center,smooth,slightly shadowed,"At the middle-center of the image lies a smooth, light lesion, slightly shadowed."
ISIC_0027995,0,0,600,450,light,middle-center,grainy,under dim light,"Located near the middle-center, a light grainy lesion is seen, under dim light."
ISIC_0028002,0,0,236,365,light,middle-left,rough,in natural lighting,"A light growth at the middle-left area, appearing rough and in natural lighting."
ISIC_0028006,159,94,432,381,light,middle-center,flat,moderately lit,A flat light lesion around the middle-center under moderately lit.
ISIC_0028024,210,34,477,424,light,middle-center,scaly,in natural lighting,"A light growth at the middle-center area, appearing scaly and in natural lighting."
ISIC_0028028,0,0,600,450,light,middle-center,smooth,under dim light,"The middle-center region contains a light smooth pigmentation, under dim light."
ISIC_0028030,265,177,422,327,brownish,middle-center,grainy,slightly shadowed,"A brownish irregularly shaped lesion appears at the middle-center, slightly shadowed."
ISIC_0028036,215,0,600,450,brownish,middle-right,rough,under bright light,"The middle-right region displays a rough, brownish mark, under bright light."
ISIC_0028059,198,97,481,352,light,middle-center,flat,under dim light,"At the middle-center, a light flat lesion can be observed, under dim light."
ISIC_0028068,276,129,450,373,brownish,middle-center,irregular,slightly shadowed,"At the middle-center of the image lies a irregular, brownish lesion, slightly shadowed."
ISIC_0028069,0,0,220,450,light,middle-left,grainy,under dim light,"A grainy lesion appears at the middle-left, exhibiting light pigmentation, under dim light."
ISIC_0028083,40,0,448,450,light,middle-center,irregular,slightly shadowed,"A irregular and light lesion is observed at the middle-center, slightly shadowed."
ISIC_0028090,199,89,458,385,light,middle-center,grainy,well illuminated,"A grainy and light lesion is observed at the middle-center, well illuminated."
ISIC_0028094,145,129,393,377,light,middle-center,smooth,well illuminated,"A light lesion located at the middle-center, with smooth texture and well illuminated."
ISIC_0028095,182,136,421,323,light,middle-center,flat,in natural lighting,"At the middle-center of the image lies a flat, light lesion, in natural lighting."
ISIC_0028096,128,69,344,403,light,middle-center,rough,in natural lighting,"A rough lesion with light tone is seen around the middle-center, in natural lighting."
ISIC_0028099,119,114,383,390,light,middle-center,flat,well illuminated,"The lesion at the middle-center looks flat and light, well illuminated."
ISIC_0028142,0,56,600,450,light,middle-center,smooth,under bright light,"A light smooth spot positioned at the middle-center, under bright light."
ISIC_0028143,9,72,413,313,light,middle-center,scaly,moderately lit,"The middle-center region displays a scaly, light mark, moderately lit."
ISIC_0028146,126,116,350,373,brownish,middle-center,rough,under bright light,"A brownish rough spot positioned at the middle-center, under bright light."
ISIC_0028189,150,17,468,439,brownish,middle-center,bumpy,under bright light,"A brownish growth at the middle-center area, appearing bumpy and under bright light."
ISIC_0028223,256,0,600,450,light,middle-right,scaly,well illuminated,"An light scaly lesion located at the middle-right, well illuminated."
ISIC_0028240,196,39,409,296,brownish,middle-center,bumpy,moderately lit,"Notable brownish, bumpy pigmentation located at the middle-center, moderately lit."
ISIC_0028242,0,0,521,450,light,middle-center,irregular,under dim light,"A light, irregular patch is visible near the middle-center, under dim light."
ISIC_0028250,156,119,302,332,light,middle-center,smooth,under bright light,"The middle-center area reveals a smooth light patch, under bright light."
ISIC_0028251,114,95,355,317,brownish,middle-center,irregular,under dim light,"The middle-center region contains a brownish irregular pigmentation, under dim light."
ISIC_0028254,156,56,565,397,light,middle-center,bumpy,moderately lit,"A bumpy lesion with light tone is seen around the middle-center, moderately lit."
ISIC_0028256,69,0,600,450,light,middle-center,flat,in natural lighting,"An light flat lesion located at the middle-center, in natural lighting."
ISIC_0028267,176,59,442,377,brownish,middle-center,smooth,in natural lighting,"A brownish lesion with smooth surface appears at the middle-center, in natural lighting."
ISIC_0028272,512,327,600,450,brownish,bottom-right,rough,under bright light,"The bottom-right region contains a brownish rough pigmentation, under bright light."
ISIC_0028279,0,0,463,450,light,middle-center,smooth,slightly shadowed,A smooth light lesion around the middle-center under slightly shadowed.
ISIC_0028284,243,112,455,318,light,middle-center,scaly,moderately lit,"A scaly lesion appears at the middle-center, exhibiting light pigmentation, moderately lit."
ISIC_0028290,224,152,386,278,brownish,middle-center,grainy,in natural lighting,"A brownish grainy spot positioned at the middle-center, in natural lighting."
ISIC_0028309,201,116,378,335,brownish,middle-center,bumpy,moderately lit,"A brownish lesion with bumpy surface appears at the middle-center, moderately lit."
ISIC_0028313,139,57,364,360,brownish,middle-center,flat,under bright light,"The middle-center region contains a brownish flat pigmentation, under bright light."
ISIC_0028317,0,0,273,450,light,middle-left,smooth,under dim light,"A light irregularly shaped lesion appears at the middle-left, under dim light."
ISIC_0028341,133,82,522,393,brownish,middle-center,bumpy,under bright light,"A brownish bumpy spot positioned at the middle-center, under bright light."
ISIC_0028351,0,0,600,450,light,middle-center,bumpy,slightly shadowed,"A light lesion located at the middle-center, with bumpy texture and slightly shadowed."
ISIC_0028359,143,5,589,373,light,middle-center,bumpy,slightly shadowed,"Notable light, bumpy pigmentation located at the middle-center, slightly shadowed."
ISIC_0028377,129,62,415,372,light,middle-center,bumpy,in natural lighting,"A bumpy lesion appears at the middle-center, exhibiting light pigmentation, in natural lighting."
ISIC_0028379,164,100,340,231,light,middle-center,scaly,under bright light,"The middle-center region displays a scaly, light mark, under bright light."
ISIC_0028415,68,75,504,398,light,middle-center,grainy,under dim light,"At the middle-center, a light grainy lesion can be observed, under dim light."
ISIC_0028423,203,0,346,72,brownish,top-center,smooth,under bright light,"A smooth lesion appears at the top-center, exhibiting brownish pigmentation, under bright light."
ISIC_0028427,0,0,600,450,light,middle-center,flat,well illuminated,"The lesion, light and flat, is located toward the middle-center, well illuminated."
ISIC_0028442,193,106,467,417,light,middle-center,bumpy,under bright light,"The middle-center area reveals a bumpy light patch, under bright light."
ISIC_0028445,163,160,403,299,light,middle-center,bumpy,well illuminated,"A bumpy lesion appears at the middle-center, exhibiting light pigmentation, well illuminated."
ISIC_0028459,172,145,420,407,light,middle-center,rough,slightly shadowed,"A light growth at the middle-center area, appearing rough and slightly shadowed."
ISIC_0028462,164,43,362,332,brownish,middle-center,bumpy,well illuminated,"A bumpy and brownish lesion is observed at the middle-center, well illuminated."
ISIC_0028465,76,44,503,417,brownish,middle-center,smooth,slightly shadowed,"A brownish irregularly shaped lesion appears at the middle-center, slightly shadowed."
ISIC_0028475,138,121,373,367,brownish,middle-center,scaly,moderately lit,"A brownish, scaly patch is visible near the middle-center, moderately lit."
ISIC_0028480,65,0,469,399,light,middle-center,bumpy,under bright light,"A light growth at the middle-center area, appearing bumpy and under bright light."
ISIC_0028481,0,0,506,450,light,middle-center,irregular,in natural lighting,A irregular light lesion around the middle-center under in natural lighting.
ISIC_0028484,146,147,438,305,brownish,middle-center,bumpy,in natural lighting,"The middle-center region displays a bumpy, brownish mark, in natural lighting."
ISIC_0028502,17,82,465,379,brownish,middle-center,flat,well illuminated,"A flat lesion appears at the middle-center, exhibiting brownish pigmentation, well illuminated."
ISIC_0028521,171,76,364,246,light,middle-center,flat,under dim light,"A light lesion with flat surface appears at the middle-center, under dim light."
ISIC_0028523,0,31,532,450,light,middle-center,flat,slightly shadowed,"A flat lesion appears at the middle-center, exhibiting light pigmentation, slightly shadowed."
ISIC_0028526,158,31,397,450,light,middle-center,scaly,slightly shadowed,"Notable light, scaly pigmentation located at the middle-center, slightly shadowed."
ISIC_0028544,176,19,517,366,light,middle-center,grainy,slightly shadowed,"A light lesion located at the middle-center, with grainy texture and slightly shadowed."
ISIC_0028551,252,0,600,450,light,middle-right,flat,under dim light,"The middle-right region displays a flat, light mark, under dim light."
ISIC_0028580,199,145,402,309,light,middle-center,rough,under dim light,"A rough lesion appears at the middle-center, exhibiting light pigmentation, under dim light."
ISIC_0028597,169,104,362,275,light,middle-center,irregular,under bright light,"At the middle-center, a light irregular lesion can be observed, under bright light."
ISIC_0028611,62,72,477,386,light,middle-center,smooth,in natural lighting,"A light irregularly shaped lesion appears at the middle-center, in natural lighting."
ISIC_0028620,123,2,383,280,brownish,top-center,bumpy,under bright light,"A bumpy and brownish lesion is observed at the top-center, under bright light."
ISIC_0028647,94,42,323,378,light,middle-center,rough,well illuminated,"The lesion, light and rough, is located toward the middle-center, well illuminated."
ISIC_0028667,81,117,454,444,light,middle-center,scaly,under dim light,"A light growth at the middle-center area, appearing scaly and under dim light."
ISIC_0028672,108,36,334,304,brownish,middle-center,irregular,slightly shadowed,"A brownish, irregular patch is visible near the middle-center, slightly shadowed."
ISIC_0028717,0,54,600,442,light,middle-center,bumpy,moderately lit,"The middle-center region contains a light bumpy pigmentation, moderately lit."
ISIC_0028725,232,55,447,308,light,middle-center,scaly,moderately lit,"A light scaly spot positioned at the middle-center, moderately lit."
ISIC_0028729,199,94,493,450,light,middle-center,flat,in natural lighting,"The middle-center region displays a flat, light mark, in natural lighting."
ISIC_0028732,8,8,600,450,light,middle-center,smooth,slightly shadowed,"A light lesion located at the middle-center, with smooth texture and slightly shadowed."
ISIC_0028740,109,10,462,388,light,middle-center,grainy,under bright light,"A light lesion with grainy surface appears at the middle-center, under bright light."
ISIC_0028745,208,73,470,450,light,middle-center,rough,moderately lit,"Notable light, rough pigmentation located at the middle-center, moderately lit."
ISIC_0028760,181,199,340,336,brownish,middle-center,flat,under dim light,A flat brownish lesion around the middle-center under under dim light.
ISIC_0028762,186,138,373,295,brownish,middle-center,rough,under dim light,"A brownish growth at the middle-center area, appearing rough and under dim light."
ISIC_0028778,216,78,480,449,light,middle-center,bumpy,under bright light,"The middle-center region displays a bumpy, light mark, under bright light."
ISIC_0028782,226,0,541,384,light,middle-center,bumpy,in natural lighting,"A light lesion located at the middle-center, with bumpy texture and in natural lighting."
ISIC_0028788,53,93,443,388,light,middle-center,smooth,in natural lighting,"An light smooth lesion located at the middle-center, in natural lighting."
ISIC_0028798,44,121,296,348,brownish,middle-left,bumpy,moderately lit,"A brownish growth at the middle-left area, appearing bumpy and moderately lit."
ISIC_0028802,162,0,373,319,brownish,middle-center,rough,under dim light,A rough brownish lesion around the middle-center under under dim light.
ISIC_0028805,259,101,398,200,light,middle-center,bumpy,under dim light,"A light lesion located at the middle-center, with bumpy texture and under dim light."
ISIC_0028807,0,0,208,450,light,middle-left,rough,moderately lit,"The lesion, light and rough, is located toward the middle-left, moderately lit."
ISIC_0028818,116,83,489,384,light,middle-center,flat,in natural lighting,"Located near the middle-center, a light flat lesion is seen, in natural lighting."
ISIC_0028825,79,88,460,356,light,middle-center,irregular,slightly shadowed,"A irregular lesion with light tone is seen around the middle-center, slightly shadowed."
ISIC_0028845,38,0,426,329,brownish,middle-center,scaly,slightly shadowed,"A brownish irregularly shaped lesion appears at the middle-center, slightly shadowed."
ISIC_0028856,143,126,427,328,light,middle-center,bumpy,well illuminated,"The middle-center area reveals a bumpy light patch, well illuminated."
ISIC_0028864,173,20,458,315,light,middle-center,scaly,under bright light,"A light irregularly shaped lesion appears at the middle-center, under bright light."
ISIC_0028869,262,130,404,249,brownish,middle-center,grainy,moderately lit,A grainy brownish lesion around the middle-center under moderately lit.
ISIC_0028876,0,0,125,450,light,middle-left,flat,under dim light,"An light flat lesion located at the middle-left, under dim light."
ISIC_0028894,151,25,468,410,brownish,middle-center,irregular,under bright light,"The middle-center area reveals a irregular brownish patch, under bright light."
ISIC_0028902,113,91,432,290,light,middle-center,grainy,well illuminated,"At the middle-center of the image lies a grainy, light lesion, well illuminated."
ISIC_0028910,167,118,378,255,brownish,middle-center,irregular,moderately lit,"Notable brownish, irregular pigmentation located at the middle-center, moderately lit."
ISIC_0028936,32,64,482,450,light,middle-center,flat,under bright light,"The lesion at the middle-center looks flat and light, under bright light."
ISIC_0028945,0,0,234,450,light,middle-left,smooth,in natural lighting,"A smooth lesion with light tone is seen around the middle-left, in natural lighting."
ISIC_0028980,202,123,376,309,light,middle-center,bumpy,in natural lighting,"A light bumpy spot positioned at the middle-center, in natural lighting."
ISIC_0028983,0,0,186,450,light,middle-left,irregular,slightly shadowed,"The middle-left area reveals a irregular light patch, slightly shadowed."
ISIC_0028985,222,113,451,287,brownish,middle-center,smooth,moderately lit,"Located near the middle-center, a brownish smooth lesion is seen, moderately lit."
ISIC_0028989,171,105,436,338,light,middle-center,scaly,under dim light,"A light irregularly shaped lesion appears at the middle-center, under dim light."
ISIC_0028991,186,110,474,435,light,middle-center,smooth,slightly shadowed,"The middle-center region contains a light smooth pigmentation, slightly shadowed."
ISIC_0028994,154,141,414,343,pale,middle-center,scaly,well illuminated,"A pale lesion with scaly surface appears at the middle-center, well illuminated."
ISIC_0029001,0,103,425,450,light,middle-center,irregular,well illuminated,"A light lesion with irregular surface appears at the middle-center, well illuminated."
